X,Y,WEATHER_STATIONS_ID,STATION_CODE,STATION_NAME,STATION_ACRONYM,LATITUDE,LONGITUDE,ELEVATION,INSTALL_DATE,OBJECTID
-118.93668137287,49.0520060729282,127,394,ROCK CREEK,FRC,49.052,-118.936667,609,1991/09/16 22:00:00+00,965232
-116.163847466963,49.1253396841881,128,401,GOATFELL,FGO,49.125333,-116.163833,1098,1993/04/10 22:00:00+00,965233
-117.447514511201,49.496672966617,129,404,SMALLWOOD,FLD,49.496667,-117.4475,997,1991/07/21 22:00:00+00,965234
-117.440014586291,49.784672985139,130,406,SLOCAN,FSL,49.784667,-117.44,1230,1991/10/12 22:00:00+00,965235
-117.994181251807,49.2545061906653,131,407,NANCY GREENE,FNG,49.2545,-117.994167,1397,1991/10/10 22:00:00+00,965236
-121.396678817394,58.838116139289,132,117,SIERRA,FSI,58.83811,-121.39666,584,1990/06/25 22:00:00+00,965237
-120.788935710303,59.4210062364556,133,118,HELMUT,FHE,59.421,-120.788917,598,1990/06/09 22:00:00+00,965238
-124.098529758563,59.6172857582926,134,119,NELSON FORKS,FNF,59.61728,-124.09851,604,1990/08/19 22:00:00+00,965239
-121.40740108293,57.3739891061556,135,120,SILVER,FSV,57.373983,-121.407383,835,2023/06/10 22:00:00+00,965240
-120.236818050441,57.781816278789,136,121,PADDY,FDY,57.78181,-120.2368,729,1992/10/02 22:00:00+00,965241
-122.457684545497,56.4346448386904,137,124,GRAHAM,FGM,56.434639,-122.457667,768,1995/05/18 22:00:00+00,965242
-125.310719550457,58.8658555724288,138,126,TOAD RIVER,FTD,58.86585,-125.3107,711,1995/04/29 22:00:00+00,965243
-122.590990367718,57.0875337355413,139,129,PINK MOUNTAIN,FPM,57.087528,-122.590972,989,1995/05/17 22:00:00+00,965244
-123.616318739563,57.8842558057093,140,131,MUSKWA,FMW,57.88425,-123.6163,780,1993/05/30 22:00:00+00,965245
-121.76544784685,56.7185060410192,141,136,WONOWON,FWO,56.7185,-121.76543,967,1990/04/30 22:00:00+00,965246
-120.576226749877,54.6330361376384,142,138,RED DEER,FRD,54.63303,-120.57621,1306,1996/05/15 22:00:00+00,965247
-122.517117462234,55.5249859076498,143,140,LEMORAY,FEY,55.52498,-122.5171,757,1995/06/19 22:00:00+00,965248
-123.097015485823,49.4400056191674,144,554,CAPILANO GVRD,CAP,49.44,-123.097,400,2000/12/30 23:00:00+00,965249
-122.950015474,49.4830056378796,145,555,SEYMOUR GVRD,CEY,49.483,-122.95,390,2000/12/30 23:00:00+00,965250
-122.770015419481,49.3860056542159,146,556,COQUITLAM GVRD,COQ,49.386,-122.77,430,2000/12/30 23:00:00+00,965251
-122.573519045818,58.8418948699968,147,599,FORT NELSON FS,FYE,58.841889,-122.5735,384,1999/07/10 22:00:00+00,965252
-125.788682767533,50.0486386237666,148,19,MENZIES CAMP,FMZ,50.048633,-125.788667,438,1992/06/04 22:00:00+00,965253
-123.474432066941,48.7728944456743,149,45,SALTSPRING 2,FSS,48.772889,-123.474417,18,2001/04/22 22:00:00+00,965254
-124.702237933688,49.4368387306638,150,56,BOWSER,FBO,49.436833,-124.702222,121,1989/07/12 22:00:00+00,965255
-123.874748801049,49.0476222115761,151,59,CEDAR,FCE,49.047617,-123.874733,30,1989/05/10 22:00:00+00,965256
-122.573298653828,49.2645056715983,152,72,UBC RESEARCH,FUB,49.2645,-122.573283,162,1990/04/07 22:00:00+00,965257
-124.077182663553,50.5710055487317,153,75,TOBA CAMP,FTP,50.571,-124.077167,43,1998/06/29 22:00:00+00,965258
-125.028071899182,51.1891165536695,154,82,SCAR CREEK,FCC,51.189111,-125.028056,116,1995/07/30 22:00:00+00,965259
-123.161904591787,49.7823946263037,155,83,SQUAMISH AP (EC),WSK,49.782389,-123.161889,60,1983/04/30 22:00:00+00,965260
-132.115627940906,53.2531745732843,156,93,HONNA,FHN,53.25317,-132.11561,21,1990/06/15 22:00:00+00,965261
